t,detected,conf,cx,cy,size
37.366,True,0.845,-0.551,0.172,0.0421
37.436,True,0.867,-0.553,0.281,0.0425
37.503,True,0.881,-0.543,0.371,0.0445
37.562,True,0.876,-0.533,0.454,0.0449
37.637,True,0.876,-0.511,0.537,0.0462
37.699,True,0.890,-0.485,0.615,0.0469
37.767,True,0.861,-0.462,0.665,0.0488
37.837,True,0.875,-0.429,0.701,0.0488
37.901,True,0.877,-0.384,0.721,0.0449
37.968,True,0.872,-0.343,0.740,0.0424
38.037,True,0.854,-0.304,0.761,0.0401
38.104,True,0.839,-0.262,0.772,0.0388
38.167,True,0.838,-0.205,0.786,0.0358
38.236,True,0.834,-0.146,0.797,0.0348
38.301,True,0.828,-0.080,0.797,0.0342
38.346,True,0.826,-0.048,0.799,0.0348
38.400,True,0.841,0.013,0.806,0.0331
38.472,True,0.824,0.071,0.804,0.0336
38.534,True,0.812,0.131,0.814,0.0326
38.599,True,0.808,0.185,0.814,0.0326
38.666,True,0.802,0.243,0.814,0.0334
38.751,True,0.810,0.294,0.811,0.0349
38.839,True,0.838,0.352,0.801,0.0379
38.904,True,0.843,0.391,0.775,0.0431
38.968,True,0.832,0.425,0.746,0.0479
39.037,True,0.873,0.454,0.719,0.0513
39.102,True,0.862,0.479,0.671,0.0535
39.147,True,0.850,0.487,0.618,0.0522
39.198,True,0.860,0.495,0.532,0.0513
39.269,True,0.877,0.503,0.418,0.0441
39.353,True,0.862,0.504,0.312,0.0430
39.438,True,0.871,0.490,0.136,0.0389
39.499,True,0.871,0.473,0.024,0.0363
39.580,True,0.865,0.457,-0.071,0.0355
39.639,True,0.871,0.437,-0.153,0.0358
39.701,True,0.842,0.409,-0.236,0.0377
39.769,True,0.835,0.378,-0.303,0.0383
39.840,True,0.829,0.347,-0.360,0.0385
39.899,True,0.828,0.308,-0.408,0.0409
39.967,True,0.804,0.274,-0.453,0.0388
40.035,True,0.835,0.238,-0.487,0.0379
40.101,True,0.844,0.195,-0.524,0.0359
40.167,True,0.862,0.144,-0.546,0.0353
40.236,True,0.869,0.090,-0.567,0.0357
40.302,True,0.902,0.028,-0.568,0.0345
40.369,True,0.906,-0.039,-0.549,0.0341
40.434,True,0.885,-0.109,-0.522,0.0359
40.500,True,0.918,-0.175,-0.475,0.0359
40.575,True,0.895,-0.237,-0.408,0.0381
40.633,True,0.898,-0.289,-0.333,0.0392
40.701,True,0.893,-0.334,-0.244,0.0404
40.751,True,0.897,-0.355,-0.203,0.0402
40.839,True,0.890,-0.409,-0.058,0.0423
40.901,True,0.876,-0.430,0.047,0.0436
40.954,True,0.878,-0.438,0.099,0.0435
41.038,True,0.873,-0.449,0.246,0.0438
41.102,True,0.880,-0.442,0.353,0.0451
41.154,True,0.871,-0.438,0.412,0.0442
41.235,True,0.873,-0.402,0.561,0.0483
41.301,True,0.851,-0.370,0.656,0.0515
